"Sample Name"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Derived Spectral Data File"	"Protocol REF"	"Derived Data File"
"MP112_NIST_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_006_NIST_3_1_P1-A-4_1_10206.mzML"	"data transformation"	""
"MP112_NIST_Lip_6_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_009_NIST_6_1_P1-A-7_1_10209.mzML"	"data transformation"	""
"MP112_NIST_Lip_10_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_013_NIST_10_1_P1-B-2_1_10213.mzML"	"data transformation"	""
"MP112_sol_Lip_1_4"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_014_sol_1_4_P1-A-1_1_10214.mzML"	"data transformation"	""
"MP112_BL_Lip_1_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_015_BL_1_1_P1-B-3_1_10215.mzML"	"data transformation"	""
"MP112_CP_Lip_1_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_016_CP_1_1_P1-B-4_1_10216.mzML"	"data transformation"	""
"MP112_PO_Lip_1_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_017_PO_1_1_P1-B-5_1_10217.mzML"	"data transformation"	""
"MP112_179"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_018_179_1_1_P1-B-6_1_10218.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_115"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_019_115_1_1_P1-B-7_1_10219.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_122"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_020_122_1_1_P1-B-8_1_10220.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_5"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_028_sol_1_5_P1-A-1_1_10228.mzML"	"data transformation"	""
"MP112_BL_Lip_2_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_029_BL_2_1_P1-C-7_1_10229.mzML"	"data transformation"	""
"MP112_CP_Lip_2_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_030_CP_2_1_P1-C-8_1_10230.mzML"	"data transformation"	""
"MP112_PO_Lip_2_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_031_PO_2_1_P1-C-9_1_10231.mzML"	"data transformation"	""
"MP112_103"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_032_103_1_1_P1-D-1_1_10232.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_188"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_033_188_1_1_P1-D-2_1_10233.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_46"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_034_46_1_1_P1-D-3_1_10234.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_6"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_042_sol_1_6_P1-A-1_1_10242.mzML"	"data transformation"	""
"MP112_BL_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_043_BL_3_1_P1-E-2_1_10243.mzML"	"data transformation"	""
"MP112_CP_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_044_CP_3_1_P1-E-3_1_10244.mzML"	"data transformation"	""
"MP112_PO_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_045_PO_3_1_P1-E-4_1_10245.mzML"	"data transformation"	""
"MP112_180"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_046_180_1_1_P1-E-5_1_10246.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_159"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_047_159_1_1_P1-E-6_1_10247.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_47"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_048_47_1_1_P1-E-7_1_10248.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_22"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_049_22_1_1_P1-E-8_1_10249.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_14"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_154_sol_1_14_P3-A-1_1_10354.mzML"	"data transformation"	""
"MP112_BL_Lip_11_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_155_BL_11_1_P3-D-9_1_10355.mzML"	"data transformation"	""
"MP112_CP_Lip_11_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_156_CP_11_1_P3-E-1_1_10356.mzML"	"data transformation"	""
"MP112_PO_Lip_11_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_157_PO_11_1_P3-E-2_1_10357.mzML"	"data transformation"	""
"MP112_123"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_158_123_1_1_P3-E-3_1_10358.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_104"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_159_104_1_1_P3-E-4_1_10359.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_172"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_160_172_1_1_P3-E-5_1_10360.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_15"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_168_sol_1_15_P3-A-1_1_10368.mzML"	"data transformation"	""
"MP112_BL_Lip_12_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_169_BL_12_1_P3-F-4_1_10369.mzML"	"data transformation"	""
"MP112_CP_Lip_12_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_170_CP_12_1_P3-F-5_1_10370.mzML"	"data transformation"	""
"MP112_PO_Lip_12_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_171_PO_12_1_P3-F-6_1_10371.mzML"	"data transformation"	""
"MP112_147"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_172_147_1_1_P3-F-7_1_10372.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_87"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_173_87_1_1_P3-F-8_1_10373.mzML"	"data transformation"	""
"MP112_72"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_174_72_1_1_P3-F-9_1_10374.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_16"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_182_sol_1_16_P4-A-1_1_10382.mzML"	"data transformation"	""
"MP112_BL_Lip_13_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_183_BL_13_1_P4-A-9_1_10383.mzML"	"data transformation"	""
"MP112_CP_Lip_13_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_184_CP_13_1_P4-B-1_1_10384.mzML"	"data transformation"	""
"MP112_PO_Lip_13_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_185_PO_13_1_P4-B-2_1_10385.mzML"	"data transformation"	""
"MP112_57"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_186_57_1_1_P4-B-3_1_10386.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_64"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_187_64_1_1_P4-B-4_1_10387.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_4"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_188_4_1_1_P4-B-5_1_10388.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_149"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/neg/MP112_LipMS1n_15072022_189_149_1_1_P4-B-6_1_10389.mzML"	"data transformation"	"datatable_LIP.xlsx"
