"Sample Name"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Derived Spectral Data File"	"Protocol REF"	"Derived Data File"
"MP112_NIST_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_006_NIST_3_1_P1-A-4_1_9842.mzML"	"data transformation"	""
"MP112_NIST_Lip_6_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_009_NIST_6_1_P1-A-7_1_9845.mzML"	"data transformation"	""
"MP112_NIST_Lip_10_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_013_NIST_10_1_P1-B-2_1_9849.mzML"	"data transformation"	""
"MP112_sol_Lip_1_4"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_014_sol_1_4_P1-A-1_1_9850.mzML"	"data transformation"	""
"MP112_BL_Lip_1_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_015_BL_1_1_P1-B-3_1_9851.mzML"	"data transformation"	""
"MP112_CP_Lip_1_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_016_CP_1_1_P1-B-4_1_9852.mzML"	"data transformation"	""
"MP112_PO_Lip_1_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_017_PO_1_1_P1-B-5_1_9853.mzML"	"data transformation"	""
"MP112_179"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_018_179_1_1_P1-B-6_1_9854.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_115"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_019_115_1_1_P1-B-7_1_9855.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_122"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_020_122_1_1_P1-B-8_1_9856.mzML"	"data transformation"	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_5"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_028_sol_1_5_P1-A-1_1_9864.mzML"	""	""
"MP112_BL_Lip_2_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_029_BL_2_1_P1-C-7_1_9865.mzML"	""	""
"MP112_CP_Lip_2_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_030_CP_2_1_P1-C-8_1_9866.mzML"	""	""
"MP112_PO_Lip_2_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_031_PO_2_1_P1-C-9_1_9867.mzML"	""	""
"MP112_103"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_032_103_1_1_P1-D-1_1_9868.mzML"	""	"datatable_LIP.xlsx"
"MP112_188"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_033_188_1_1_P1-D-2_1_9869.mzML"	""	"datatable_LIP.xlsx"
"MP112_46"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_034_46_1_1_P1-D-3_1_9870.mzML"	""	"datatable_LIP.xlsx"
"MP112_sol_Lip_1_6"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_042_sol_1_6_P1-A-1_1_9878.mzML"	""	""
"MP112_BL_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_043_BL_3_1_P1-E-2_1_9879.mzML"	""	""
"MP112_CP_Lip_3_1"	"extraction"	"Chromatography"	"mass spectrometry"	"J:/CBMR/SUN-CBMR-Metabolomics/Projects/AMP_test_project/mzML/PL_LIP_MS1/pos//Batch 1/MP112_LipMS1p_11072022_044_CP_3_1_P1-E-3_1_9880.mzML"	""	""
